,Municipality,Province,Inhabitants,Total area,Land area,Inhabitants per square km,Average household income,Latitude,Longitude
274,Staphorst,Overijssel,17005.0,135.69,133.99,125.0,29500.0,52.6473009,6.2072973
275,Stede Broec,Noord-Holland,21702.0,16.37,14.5,1494.0,28300.0,52.6972919,5.22599031191976
276,Steenbergen,Noord-Brabant,25053.0,159.14,146.43,169.0,29300.0,51.58592,4.3145758
277,Steenwijkerland,Overijssel,43931.0,321.59,288.27,152.0,27700.0,52.7478796,6.02320314970118
279,Stichtse Vecht,Utrecht (provincie),64372.0,106.82,96.1,671.0,34300.0,52.20301145,4.99483765045446
280,Súdwest-Fryslân,Friesland,89705.0,907.11,522.26,172.0,27500.0,52.97483265,5.43607389246792
281,Terneuzen,Zeeland,54579.0,317.76,250.38,217.0,27900.0,51.3254737,3.8403111
282,Terschelling,Friesland,4889.0,673.99,85.26,58.0,,53.3339055,5.35149087569959
283,Texel,Noord-Holland,13551.0,463.16,162.0,84.0,29500.0,53.0775961,4.90573113717644
284,Teylingen,Zuid-Holland,37061.0,33.49,28.38,1289.0,34900.0,52.2174139,4.51138444863757
285,Tholen,Zeeland,25794.0,254.0,146.71,174.0,28200.0,51.5354462,4.2232813
286,Tiel,Gelderland,41995.0,35.51,32.88,1261.0,27700.0,51.89242535,5.43043817413793
287,Tilburg,Noord-Brabant,217342.0,118.13,116.17,1855.0,27000.0,51.57370915,5.0439311164373
288,Tubbergen,Overijssel,21275.0,147.44,147.0,144.0,30600.0,52.4081084,6.7818694
289,Twenterand,Overijssel,33785.0,108.14,106.17,319.0,27000.0,52.439304,6.63542757504466
290,Tynaarlo,Drenthe,33695.0,147.7,143.0,234.0,32200.000000000004,53.0790514,6.6199304
291,Tietjerksteradeel,Friesland,31764.0,161.41,148.86,214.0,28200.0,53.20512135,5.97344714650753
292,Uden,Noord-Brabant,41770.0,67.53,67.0,623.0,29500.0,51.6590888,5.6148605
293,Uitgeest,Noord-Holland,13536.0,22.29,19.16,705.0,32400.0,52.52329395,4.73746699027213
294,Uithoorn,Noord-Holland,29450.0,19.42,18.14,1623.0,31400.0,52.24400285,4.82816050635951
296,Utrecht (gemeente),Utrecht (provincie),352795.0,99.21,93.83,3703.0,30000.0,52.0671066,5.0940706
297,Utrechtse Heuvelrug,Utrecht (provincie),49526.0,133.94,132.01,374.0,35800.0,52.02865365,5.3948842829414
298,Vaals,Limburg,10094.0,23.9,23.89,413.0,25700.0,50.7710157,6.019049
299,Valkenburg aan de Geul,Limburg,16475.0,36.92,36.73,447.0,28900.0,50.86094405,5.81371000417852
300,Valkenswaard,Noord-Brabant,30892.0,56.5,54.92,558.0,29500.0,51.350688,5.4594497
301,Veendam,Groningen (provincie),27474.0,78.68,76.0,362.0,26000.0,53.1028443,6.8694863
302,Veenendaal,Utrecht (provincie),65599.0,19.72,19.46,3336.0,28800.0,52.02320415,5.55180028316229
303,Veere,Zeeland,21839.0,206.55,132.56,165.0,31900.0,51.5475163,3.6660882
304,Veldhoven,Noord-Brabant,45358.0,31.89,31.69,1418.0,31700.0,51.40770635,5.3927310581764
305,Velsen,Noord-Holland,68356.0,63.17,45.2,1501.0,29700.0,52.4519103,4.60389114587414
306,Venlo,Limburg,101578.0,128.99,124.25,814.0,26800.0,51.3769197,6.14948796750918
307,Venray,Limburg,43312.0,165.0,163.27,265.0,28900.0,51.5367139,5.9721181879782
308,Vijfheerenlanden,Utrecht (provincie),55703.0,,,,,51.9301978,5.04951711489125
309,Vlaardingen,Zuid-Holland,72455.0,26.69,23.57,3057.0,27000.0,51.9227863,4.32956337887085
310,Vlieland,Friesland,1139.0,315.8,39.15,29.0,,53.202995,4.99491262556725
311,Vlissingen,Zeeland,44372.0,344.84,34.31,1296.0,26400.0,51.49433865,3.41500576760136
312,Voerendaal,Limburg,12452.0,31.52,31.51,393.0,31100.0,50.8804521,5.926962
313,Voorschoten,Zuid-Holland,25476.0,11.56,11.14,2284.0,35300.0,52.12572195,4.44101686458321
314,Voorst,Gelderland,24401.0,126.47,122.97,198.0,30800.0,52.1730487,6.1415761
315,Vught,Noord-Brabant,26400.0,34.44,33.5,789.0,35900.0,51.656821,5.2893308
316,Waadhoeke,Friesland,46133.0,316.01,285.61,161.0,,53.2460054,5.61079777970859
317,Waalre,Noord-Brabant,17253.0,22.66,22.39,763.0,37300.0,51.3876404,5.4476871
318,Waalwijk,Noord-Brabant,48256.0,67.65,64.58,739.0,28800.0,51.6852544,5.0705122
319,Waddinxveen,Zuid-Holland,28311.0,29.4,27.77,993.0,30700.0,52.0443437,4.64159612038075
320,Wageningen,Gelderland,38781.0,32.36,30.42,1263.0,28800.0,51.9685817,5.66829806182796
321,Wassenaar,Zuid-Holland,26189.0,62.4,51.11,510.0,49100.0,52.14361135,4.37096681867845
322,Waterland,Noord-Holland,17306.0,115.66,52.11,331.0,34000.0,52.44350745,5.05810982203844
323,Weert,Limburg,49841.0,105.54,104.32,478.0,28700.0,51.2531334,5.7085827
324,Weesp,Noord-Holland,19331.0,24.16,22.79,840.0,30600.0,52.30444305,5.05853435200663
325,West Betuwe,Gelderland,50661.0,,,,,51.8697052,5.19413716794425
326,West Maas en Waal,Gelderland,19073.0,85.21,76.76,246.0,30100.0,51.8521914,5.49837974702748
327,Westerkwartier,Groningen (provincie),61464.0,,,,,53.21425645,6.34598133794401
328,Westerveld,Drenthe,19345.0,282.74,278.35,69.0,30000.0,52.82845325,6.31116226157661
329,Westervoort,Gelderland,14937.0,7.84,7.03,2136.0,27600.0,51.96159,5.98026
330,Westerwolde,Groningen (provincie),25244.0,280.65,275.67,90.0,,52.99946445,7.14045887009378
332,Weststellingwerf,Friesland,25837.0,228.45,220.3,117.0,26700.0,52.87191835,6.00867435965228
333,Westvoorne,Zuid-Holland,14628.0,97.48,53.18,273.0,37000.0,51.8882976,4.05990559031282
334,Wierden,Overijssel,24345.0,95.39,94.63,256.0,31000.0,52.35195215,6.56744842056736
335,Wijchen,Gelderland,40937.0,69.56,66.18,617.0,30100.0,51.8099983,5.7362233
336,Wijdemeren,Noord-Holland,24018.0,76.36,47.6,497.0,36100.0,52.2256115,5.09036779115721
337,Wijk bij Duurstede,Utrecht (provincie),23763.0,50.4,47.62,497.0,32299.999999999996,51.9775074,5.32692972728341
338,Winterswijk,Gelderland,28907.0,138.82,138.14,210.0,27400.0,51.9746432,6.7224185
339,Woensdrecht,Noord-Brabant,21861.0,91.97,91.66,238.0,29300.0,51.4297206,4.2975384
340,Woerden,Utrecht (provincie),52204.0,92.92,88.57,584.0,32800.0,52.08701595,4.8766871986735
341,De Wolden,Drenthe,24116.0,226.35,224.55,107.0,30300.0,52.70557745,6.33895417395422
342,Wormerland,Noord-Holland,16332.0,45.18,38.59,414.0,31600.0,52.50555225,4.85934288905351
343,Woudenberg,Utrecht (provincie),13165.0,36.82,36.53,356.0,31900.0,52.08025955,5.41222657616449
344,Zaanstad,Noord-Holland,155799.0,83.24,73.87,2097.0,27800.0,52.4689235,4.77378352245171
345,Zaltbommel,Gelderland,28441.0,89.04,79.38,353.0,30700.0,51.80498155,5.25456598621679
346,Zandvoort,Noord-Holland,17004.0,43.97,32.12,528.0,30900.0,52.3595916,4.53252402994204
347,Zeewolde,Flevoland,22312.0,268.86,247.23,91.0,29700.0,52.33580305,5.52801785114417
348,Zeist,Utrecht (provincie),63960.0,48.65,48.51,1305.0,34800.0,52.08653175,5.24900795767188
349,Zevenaar,Gelderland,43507.0,106.1,92.6,469.0,27900.0,51.9357252,6.0789395
350,Zoetermeer,Zuid-Holland,124947.0,37.05,34.45,3620.0,29600.0,52.06228915,4.48775455369488
351,Zoeterwoude,Zuid-Holland,8451.0,21.96,21.19,398.0,33700.0,52.11718945,4.50345950207935
352,Zuidplas,Zuid-Holland,42767.0,64.05,58.02,722.0,32800.0,51.9995787,4.61345093742516
353,Zundert,Noord-Brabant,21624.0,121.21,120.65,178.0,30100.0,51.4702197,4.6610472
354,Zutphen,Gelderland,47605.0,42.93,40.95,1161.0,27000.0,52.143222,6.2044441
355,Zwartewaterland,Overijssel,22502.0,87.86,82.49,272.0,29400.0,52.6099199,6.04552205192132
356,Zwijndrecht,Zuid-Holland,44654.0,22.77,20.3,2196.0,28700.0,51.82052005,4.62573151837953
357,Zwolle,Overijssel,127492.0,119.36,111.1,1135.0,28600.0,52.51456525,6.09772035967769
