,Province,Inhabitants,Land area,Inhabitants per square km,Average household income,Latitude,Longitude,Number of cinemas,Number of cinemas per inhabitant,Number of cinemas per square km,Number of cinemas per inhabitant times square km,Number of inhabitants per cinema,Number of potential customers for a new cinema,Label,Mean number of cinemas per inhabitant,Mean number of cinemas per square km,Mean number of cinemas per inhabitant times square km,Std number of cinemas per inhabitant,Std number of cinemas per square km,Std number of cinemas per inhabitant times square km
Eijsden-Margraten,Limburg,25654,77.74,329.0,32100.0,50.8049942,5.76828165223431,2.0,7.796055196070789e-05,0.02572678157962439,0.006060653309425431,12827.0,8551,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Eindhoven,Noord-Brabant,231469,87.66,2614.0,28900.0,51.4392648,5.478633,5.0,2.1601164734802502e-05,0.05703855806525211,0.0018935581006527871,46293.8,38578,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Emmen,Drenthe,107111,335.18,320.0,26200.0,52.78183695,6.900874526321089,0.5,4.668054634911447e-06,0.0014917357837579807,0.0015646385525296188,214222.0,71407,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Enkhuizen,Noord-Holland,18510,12.68,1457.0,28200.0,52.75771949999999,5.32069409037035,0.5,2.7012425715829283e-05,0.03943217665615142,0.0003425175580767153,37020.0,12340,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Enschede,Overijssel,158961,140.83,1124.0,25400.0,52.22336325,6.87059566409799,2.5,1.572712803769478e-05,0.017751899453241494,0.002214851441548556,63584.4,45417,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Epe,Gelderland,33151,156.07,211.0,29600.0,52.3467875,5.9837267,0.4,1.2066001025610087e-05,0.0025629525213045432,0.0018831407800669663,82877.5,23679,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Ermelo,Gelderland,26855,85.63,313.0,31100.0,52.30015,5.6230199999999995,0.6,2.2342208154905974e-05,0.007006890108606797,0.0019131632843045986,44758.333333333336,16784,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Etten-Leur,Noord-Brabant,43786,55.3,787.0,29400.0,51.57593705,4.64322159394737,3.1,7.079888548851232e-05,0.05605786618444847,0.0039151783675147305,14124.516129032258,10679,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Geertruidenberg,Noord-Brabant,21515,26.63,808.0,29700.0,51.69646695,4.8467431124573395,0.7,3.2535440390425285e-05,0.026286143447239955,0.0008664187775970253,30735.714285714286,12655,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Geldrop-Mierlo,Noord-Brabant,39588,31.01,1266.0,30000.0,51.43182315,5.591809905322,5.0,0.00012630089926240275,0.16123831022250887,0.003916590886127109,7917.6,6598,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Gennep,Limburg,17072,47.62,358.0,28600.0,51.700959999999995,5.96786315208325,0.4,2.3430178069353328e-05,0.008399832003359933,0.0011157450796626053,42680.0,12194,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Gilze en Rijen,Noord-Brabant,26451,65.38,402.0,29400.0,51.56323905,4.91303939100513,3.8,0.00014366186533590412,0.058121749770572044,0.00939261275566141,6960.789473684211,5510,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Goeree-Overflakkee,Zuid-Holland,49610,260.48,189.0,30300.0,51.75257979999999,4.12241150855911,0.2,4.031445273130417e-06,0.0007678132678132678,0.0010501108647450112,248050.0,41341,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Goes,Zeeland,37654,92.58,407.0,28900.0,51.503114399999994,3.88924980553989,0.3,7.967281032559622e-06,0.0032404406999351912,0.0007376108779943698,125513.33333333334,28964,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Goirle,Noord-Brabant,23780,42.99,549.0,31200.0,51.5239585,5.0661977,3.6,0.00015138772077375948,0.0837404047452896,0.006508158116063921,6605.555555555556,5169,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Gooise Meren,Noord-Holland,57709,41.59,1378.0,38200.0,52.322224,5.104556785563769,2.7,4.678646311667158e-05,0.06491945179129599,0.0019458490010223711,21373.7037037037,15597,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Gorinchem,Zuid-Holland,36679,18.83,1927.0,28800.0,51.842187200000005,4.97460046726009,0.7,1.9084489762534418e-05,0.03717472118959108,0.00035936094222852304,52398.571428571435,21575,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Gouda,Zuid-Holland,73161,16.5,4405.0,28900.0,52.01811935,4.7111221346978,0.7,9.56793920258061e-06,0.04242424242424242,0.00015787099684258006,104515.71428571429,43035,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Grave,Noord-Brabant,12478,27.18,457.0,29500.0,51.76025475,5.733886233930299,1.5,0.00012021157236736656,0.05518763796909492,0.003267350536945023,8318.666666666666,4991,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Groningen (gemeente),Groningen (provincie),231354,94.92,2137.0,25700.0,53.21640915,6.50103512434397,2.8,1.21026651797678e-05,0.02949852507374631,0.0011487849788635596,82626.42857142858,60882,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Gulpen-Wittem,Limburg,14258,73.18,194.0,29300.0,50.79962605,5.8905296752731005,0.1,7.013606396409034e-06,0.0013664935774801857,0.0005132557160892131,142580.0,12961,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Haaksbergen,Overijssel,24270,104.82,232.0,29200.0,52.16212075,6.77535377710186,1.2,4.9443757725587144e-05,0.011448196908986834,0.005182694684796044,20225.0,11031,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Haaren,Noord-Brabant,14192,57.7,244.0,34800.0,51.603612700000006,5.2272278,0.7,4.932356257046223e-05,0.0121317157712305,0.002845969560315671,20274.285714285714,8348,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Haarlem,Noord-Holland,161213,29.17,5476.0,30300.0,52.38370575,4.64355969655963,3.6,2.2330705340140063e-05,0.1234144669180665,0.0006513866747718856,44781.38888888889,35046,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Haarlemmermeer,Noord-Holland,154223,178.26,826.0,32600.0,52.3238421,4.7152612488760095,4.9,3.1772174059640914e-05,0.027487938965555934,0.005663707747871589,31474.08163265306,26139,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Halderberge,Noord-Brabant,30191,74.47,401.0,29500.0,51.58976405,4.513483321011281,1.2,3.974694445364512e-05,0.01611387135759366,0.002959954953462952,25159.166666666668,13723,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Hardenberg,Overijssel,60575,312.28,194.0,27900.0,52.569125199999995,6.615938378617929,0.4,6.6033842344201406e-06,0.0012809017548354043,0.002062104828724721,151437.5,43267,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Harderwijk,Gelderland,47572,38.89,1204.0,28700.0,52.33599915,5.64027152139206,0.6,1.2612461111578239e-05,0.01542813062483929,0.0004904986126292777,79286.66666666667,29732,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Hardinxveld-Giessendam,Zuid-Holland,18053,16.91,1062.0,29400.0,51.83862405,4.8246104239093395,0.2,1.1078491109510885e-05,0.011827321111768185,0.00018733728466182906,90265.0,15044,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Hattem,Gelderland,12170,23.08,527.0,31500.0,52.47671170000001,6.061913261141651,2.4,0.0001972062448644207,0.10398613518197573,0.004551520131470829,5070.833333333334,3579,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Heemskerk,Noord-Holland,39159,27.34,1432.0,29800.0,52.51011775,4.63506088707317,0.8,2.042953088689701e-05,0.02926115581565472,0.0005585433744477642,48948.75,21755,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Heemstede,Noord-Holland,27278,9.18,2951.0,40500.0,52.34282575,4.61807385354216,3.6,0.00013197448493291298,0.39215686274509803,0.001211525771684141,7577.222222222222,5930,6,0.00011342668916943451,0.317186548625726,0.0014743329325001273,3.96718930066559e-05,0.1181329667066823,0.0005648140998616572
Heerde,Gelderland,18549,78.74,236.0,30300.0,52.389632299999995,6.0393181,0.3,1.6173378618793465e-05,0.0038100076200152403,0.0012734918324437973,61830.0,14268,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Heerenveen,Friesland,50252,190.09,264.0,27900.0,52.9567361,5.933267875126821,0.3,5.969911645307649e-06,0.0015781998000946919,0.0011348205046565311,167506.6666666667,38655,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Heerhugowaard,Noord-Holland,56749,38.21,1462.0,29300.0,52.6780162,4.85168859396379,1.0,1.7621455884685192e-05,0.02617115938236064,0.0006733158293538213,56749.0,28374,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Heerlen,Limburg,86826,44.94,1931.0,24800.0,50.8876735,5.9773285000000005,2.4,2.7641489876304332e-05,0.0534045393858478,0.0012422085550411167,36177.5,25537,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Heeze-Leende,Noord-Brabant,15965,104.02,153.0,33800.0,51.35863595,5.57797730092697,0.9,5.6373316630128404e-05,0.008652182272639877,0.005863952395865957,17738.888888888887,8402,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Heiloo,Noord-Holland,23459,18.7,1235.0,33600.0,52.60192475,4.70503175175436,1.1,4.689031928044674e-05,0.05882352941176471,0.000876848970544354,21326.363636363636,11170,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Hellendoorn,Overijssel,35812,137.91,260.0,29000.0,52.41702665,6.4560613848558495,0.4,1.1169440411035407e-05,0.0029004423174534117,0.001540377527085893,89530.0,25580,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Hellevoetsluis,Zuid-Holland,40041,41.1,973.0,30400.0,51.8433469,4.12130277209192,0.2,4.994880247746061e-06,0.004866180048661801,0.00020528957818236312,200205.0,33367,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Helmond,Noord-Brabant,91535,53.18,1709.0,27200.0,51.4790956,5.655768599999999,1.4,1.5294696017916644e-05,0.02632568634825122,0.0008133719342328071,65382.14285714286,38139,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Hendrik-Ido-Ambacht,Zuid-Holland,30962,10.61,2891.0,31700.0,51.84664995,4.63428041666292,3.7,0.0001195013242038628,0.34872761545711595,0.0012679090498029842,8368.108108108108,6587,6,0.00011342668916943451,0.317186548625726,0.0014743329325001273,3.96718930066559e-05,0.1181329667066823,0.0005648140998616572
Hengelo,Overijssel,80660,60.84,1325.0,27100.0,52.2658726,6.7924049,2.4,2.9754525167369204e-05,0.039447731755424056,0.0018102653111827425,33608.333333333336,23723,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Heumen,Gelderland,16483,39.76,414.0,32900.0,51.77125035,5.8311669000290705,3.4,0.00020627312989140325,0.08551307847082495,0.008201419644482193,4847.941176470588,3746,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Heusden,Noord-Brabant,44107,78.88,554.0,30500.0,51.7335641,5.1382012,0.5,1.1336069104677262e-05,0.006338742393509129,0.0008941891309769424,88214.0,29404,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Hillegom,Zuid-Holland,21963,12.87,1694.0,30600.0,52.29482605,4.57297125640167,1.9,8.650912898966443e-05,0.14763014763014765,0.001113372490096981,11559.473684210527,7573,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Hilvarenbeek,Noord-Brabant,15330,94.85,162.0,32400.0,51.486292399999996,5.137998400000001,3.5,0.00022831050228310502,0.03690036900369004,0.02165525114155251,4380.0,3406,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Hilversum,Noord-Holland,90198,45.61,1963.0,31600.0,52.23158695,5.17349360239234,2.8,3.104281691390053e-05,0.06139004604253453,0.0014158628794430032,32213.57142857143,23736,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Hof van Twente,Overijssel,34946,212.56,164.0,30700.0,52.2359271,6.56686374252827,0.2,5.723115664167573e-06,0.0009409108016560031,0.0012165054655754594,174730.0,29121,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Hollands Kroon,Noord-Holland,47802,357.34,133.0,29200.0,52.8759468,4.96550471204737,0.2,4.1839253587716e-06,0.0005596910505401019,0.0014950838877034434,239010.0,39835,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Hoogeveen,Drenthe,55678,127.54,437.0,26400.0,52.720239299999996,6.475931299999999,0.3,5.388124573440138e-06,0.0023522032303591026,0.0006872014080965553,185593.33333333334,42829,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Hoorn,Noord-Holland,73037,20.38,3573.0,28600.0,52.62254545,5.067726588147821,0.5,6.845845256513822e-06,0.02453385672227674,0.00013951832632775167,146074.0,48691,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Horst aan de Maas,Limburg,42293,188.73,224.0,29900.0,51.4515953,6.03089889322314,0.4,9.457829900929232e-06,0.0021194298733640655,0.001784976237202374,105732.5,30209,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Houten,Utrecht (provincie),49902,54.94,902.0,34100.0,52.03061555,5.161216639426679,5.0,0.00010019638491443229,0.09100837277029487,0.00550478938719891,9980.4,8317,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Huizen,Noord-Holland,41280,15.81,2617.0,32600.0,52.29648445,5.24058204069026,4.0,9.689922480620155e-05,0.2530044275774826,0.0015319767441860466,10320.0,8256,6,0.00011342668916943451,0.317186548625726,0.0014743329325001273,3.96718930066559e-05,0.1181329667066823,0.0005648140998616572
Hulst,Zeeland,27523,201.71,136.0,28900.0,51.291008000000005,4.03741773697298,0.1,3.633324855575337e-06,0.0004957612413861484,0.0007328779566181013,275230.0,25020,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
IJsselstein,Utrecht (provincie),34162,21.07,1628.0,32900.0,52.02620525,5.02868592322906,5.0,0.0001463614542474094,0.23730422401518747,0.003083835840992916,6832.4,5693,6,0.00011342668916943451,0.317186548625726,0.0014743329325001273,3.96718930066559e-05,0.1181329667066823,0.0005648140998616572
Kaag en Braassem,Zuid-Holland,26861,63.24,421.0,32700.000000000004,52.19304625,4.62163669903484,2.2,8.19031309333234e-05,0.03478810879190386,0.005179554000223372,12209.545454545454,8394,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Kampen,Overijssel,53787,142.18,375.0,27200.0,52.55594839999999,5.9033303,0.2,3.7183706099986987e-06,0.0014066676044450696,0.0005286779333296151,268935.0,44822,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Katwijk,Zuid-Holland,65312,24.75,2625.0,29700.0,52.19660355,4.39680477612367,1.9,2.9091131798138165e-05,0.07676767676767676,0.0007200055120039196,34374.73684210527,22521,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Kerkrade,Limburg,45643,21.91,2092.0,24700.0,50.87205345,6.05930845735641,2.3,5.039107858817343e-05,0.10497489730716567,0.00110406853186688,19844.782608695652,13831,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Koggenland,Noord-Holland,22736,80.32,282.0,31200.0,52.6475784,4.95232646863131,1.1,4.83814215341309e-05,0.013695219123505978,0.0038859957776213937,20669.090909090908,10826,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Krimpen aan den IJssel,Zuid-Holland,29353,7.69,3812.0,30400.0,51.9166979,4.608369872564269,5.0,0.00017034033999931863,0.6501950585175552,0.0013099172145947602,5870.6,4892,6,0.00011342668916943451,0.317186548625726,0.0014743329325001273,3.96718930066559e-05,0.1181329667066823,0.0005648140998616572
Krimpenerwaard,Zuid-Holland,56043,148.4,375.0,31100.0,51.95574195,4.75784699750764,0.7,1.2490409150116874e-05,0.0047169811320754715,0.0018535767178773442,80061.42857142858,32966,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Laarbeek,Noord-Brabant,22334,55.35,400.0,30200.0,51.53228435,5.61265248893554,1.2,5.372973941076386e-05,0.02168021680216802,0.0029739410763857796,18611.666666666668,10151,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Landerd,Noord-Brabant,15523,70.35,218.0,31800.0,51.70925615,5.65085744234553,1.1,7.08625909940089e-05,0.015636105188343997,0.004985183276428526,14111.81818181818,7391,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Landgraaf,Limburg,37596,24.58,1530.0,26800.0,50.908084499999994,6.0264604,2.4,6.383657835939994e-05,0.09764035801464606,0.0015691030960740505,15665.0,11057,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Landsmeer,Noord-Holland,11498,22.53,508.0,34800.0,52.44966555,4.93020295468758,3.0,0.00026091494172899633,0.13315579227696403,0.0058784136371542875,3832.6666666666665,2874,3,0.0002630518942516105,0.16837823415237024,0.006811689234400736,6.809743530881317e-05,0.07247212850785036,0.0027467097958134594
Langedijk,Noord-Holland,27986,23.88,1165.0,31500.0,52.68991139999999,4.7787321580755995,1.3,4.6451797327235045e-05,0.05443886097152429,0.0011092689201743727,21527.69230769231,12167,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Lansingerland,Zuid-Holland,61617,53.41,1145.0,35400.0,52.01101685,4.50764549523346,0.6,9.737572423194897e-06,0.011233851338700617,0.0005200837431228395,102695.0,38510,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Laren,Noord-Holland,11198,12.41,898.0,54300.0,52.24253135,5.21624403043807,3.3,0.00029469548133595285,0.26591458501208703,0.0036571709233791747,3393.3333333333335,2604,3,0.0002630518942516105,0.16837823415237024,0.006811689234400736,6.809743530881317e-05,0.07247212850785036,0.0027467097958134594
Leeuwarden,Friesland,123114,238.38,514.0,25900.0,53.19968475,5.800690895602339,1.7,1.3808340237503452e-05,0.00713147076096988,0.003291632145816073,72420.0,45597,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Leiden,Zuid-Holland,124797,21.91,5674.0,29500.0,52.1518157,4.4811088666204295,1.9,1.5224724953324197e-05,0.0867183934276586,0.00033357372372733315,65682.63157894737,43033,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Leiderdorp,Zuid-Holland,27122,11.58,2350.0,32000.0,52.15705765,4.543378647059759,2.5,9.217609320846545e-05,0.2158894645941278,0.0010673991593540299,10848.8,7749,6,0.00011342668916943451,0.317186548625726,0.0014743329325001273,3.96718930066559e-05,0.1181329667066823,0.0005648140998616572
Leidschendam-Voorburg,Zuid-Holland,75405,32.55,2302.0,32400.0,52.09260105,4.43212497207516,1.4,1.8566408063125785e-05,0.043010752688172046,0.0006043365824547443,53860.71428571429,31418,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Lelystad,Flevoland,77872,230.32,336.0,27300.0,52.53668095,5.3610435254128,0.4,5.13663447709061e-06,0.001736714136853074,0.0011830696527635094,194680.0,55622,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Leudal,Limburg,35671,162.73,220.0,30300.0,51.2339148,5.89585313998546,0.7,1.9623784026239803e-05,0.004301603883733792,0.003193378374590003,50958.571428571435,20982,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Leusden,Utrecht (provincie),30028,58.54,508.0,33600.0,52.118766799999996,5.41711889973408,2.3,7.659517783402158e-05,0.039289374786470786,0.004483881710403623,13055.652173913044,9099,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Lingewaard,Gelderland,46466,62.0,748.0,29900.0,51.907433700000006,5.943972131470621,5.0,0.00010760556105539534,0.08064516129032258,0.006671544785434511,9293.2,7744,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Lisse,Zuid-Holland,22807,15.69,1450.0,30800.0,52.2540183,4.54192802967581,1.1,4.8230806331389486e-05,0.07010834926704908,0.000756741351339501,20733.63636363636,10860,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Lochem,Gelderland,33600,213.03,158.0,32600.0,52.158485,6.4143596,1.3,3.8690476190476195e-05,0.0061024268882317045,0.008242232142857143,25846.153846153844,14608,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Loon op Zand,Noord-Brabant,23333,49.94,463.0,30100.0,51.6264405,5.0687815,3.7,0.000158573693909913,0.07408890668802563,0.007919170273861055,6306.216216216216,4964,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Lopik,Utrecht (provincie),14477,75.57,190.0,32100.0,51.9752848,4.949174299999999,0.3,2.0722525385093597e-05,0.003969829297340214,0.001566001243351523,48256.66666666667,11136,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Losser,Overijssel,22614,98.76,228.0,28100.0,52.262136100000006,7.0047679,1.3,5.7486512779693996e-05,0.013163223977318752,0.005677368002122579,17395.384615384613,9832,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Maasdriel,Gelderland,24703,66.11,368.0,30800.0,51.78533779999999,5.3167925055845995,0.6,2.4288547949641744e-05,0.009075782786265314,0.0016057159049508156,41171.66666666667,15439,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Maasgouw,Limburg,23718,45.71,518.0,30200.0,51.157703000000005,5.89454297586926,1.0,4.2162071000927563e-05,0.021877050973528767,0.001927228265452399,23718.0,11859,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Maassluis,Zuid-Holland,32786,8.48,3836.0,28600.0,51.9266671,4.24400065715733,1.3,3.965107057890563e-05,0.15330188679245282,0.00033624107850911976,25220.0,14254,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Maastricht,Limburg,121623,55.99,2192.0,26800.0,50.8579855,5.69698811694244,3.1,2.5488600018088685e-05,0.055367029826754774,0.0014271067150127856,39233.22580645161,29664,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Medemblik,Noord-Holland,44833,121.42,366.0,29500.0,52.768691000000004,5.106195,0.1,2.2304998550175095e-06,0.000823587547356284,0.000270827292396226,448330.0,40757,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Meerssen,Limburg,18923,26.96,706.0,31700.0,50.8850867,5.7529708,3.1,0.00016382180415367543,0.11498516320474778,0.0044166358399830895,6104.193548387097,4615,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Meierijstad,Noord-Brabant,80823,184.09,435.0,31700.0,51.58844725,5.51639010470067,0.9,1.1135444118629599e-05,0.004888913031669292,0.002049923907798523,89803.33333333333,42538,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
