,Province,Inhabitants,Land area,Inhabitants per square km,Average household income,Latitude,Longitude,Number of cinemas,Number of cinemas per inhabitant,Number of cinemas per square km,Number of cinemas per inhabitant times square km,Number of inhabitants per cinema,Number of potential customers for a new cinema,Label,Mean number of cinemas per inhabitant,Mean number of cinemas per square km,Mean number of cinemas per inhabitant times square km,Std number of cinemas per inhabitant,Std number of cinemas per square km,Std number of cinemas per inhabitant times square km
Amersfoort,Utrecht (provincie),156294,62.62,2479.0,30900.0,52.1637739,5.396587949351701,2.3,1.471585601494619e-05,0.03672947939955286,0.0009215069036559304,67953.91304347827,47361,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Amstelveen,Noord-Holland,90827,41.13,2185.0,34300.0,52.2862177,4.8526492597460305,3.0,3.3029825932817336e-05,0.07293946024799416,0.001358516740616777,30275.666666666668,22706,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Amsterdam,Noord-Holland,863202,165.5,5160.0,29700.0,52.3745403,4.89797550561798,4.4,5.09730051598583e-06,0.026586102719033236,0.0008436032353956549,196182.2727272727,159852,5,7.839117564691203e-06,0.03719749425023043,0.0008868277607354155,5.007061033517467e-06,0.024206055537566294,0.0003112290722426245
Apeldoorn,Gelderland,162456,339.89,474.0,29200.0,52.2156457,5.9639485,1.0,6.15551287733294e-06,0.0029421283356380005,0.0020921972718766927,162456.0,81228,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Appingedam,Groningen (provincie),11713,23.78,496.0,24900.0,53.31872515,6.844171069672519,0.1,8.53752241099633e-06,0.004205214465937763,0.00020302228293349274,117130.0,10648,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Arnhem,Gelderland,159277,97.82,1607.0,26300.0,52.005664200000005,5.87623450776413,2.6,1.6323763004074662e-05,0.0265794316090779,0.0015967904970585834,61260.38461538461,44243,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Assen,Drenthe,67970,81.89,827.0,27200.0,52.99037165,6.553377770642331,1.3,1.912608503751655e-05,0.015874954206862864,0.0015662351037222305,52284.61538461538,29552,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Asten,Noord-Brabant,16714,70.17,238.0,29900.0,51.4043498,5.7449218,0.2,1.1966016513102789e-05,0.0028502208921191395,0.0008396553787244227,83570.0,13928,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Baarn,Utrecht (provincie),24764,32.54,757.0,34700.0,52.2002549,5.26914339331394,3.5,0.00014133419479890163,0.107559926244622,0.004599014698756259,7075.428571428572,5503,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Barendrecht,Zuid-Holland,48688,19.75,2455.0,33500.0,51.85193795,4.52938352520747,5.0,0.00010269470916858363,0.25316455696202533,0.0020282205060795267,9737.6,8114,6,0.00011342668916943451,0.317186548625726,0.0014743329325001273,3.96718930066559e-05,0.1181329667066823,0.0005648140998616572
Barneveld,Gelderland,57960,175.9,326.0,30500.0,52.142478999999994,5.5866392,0.1,1.725327812284334e-06,0.0005685048322910744,0.0003034851621808144,579600.0,52690,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Beek,Limburg,15927,21.03,756.0,29900.0,51.50796195,5.10965934173815,3.6,0.00022603126765869278,0.17118402282453637,0.00475343755886231,4424.166666666667,3462,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Beemster,Noord-Holland,9748,70.58,135.0,34300.0,52.56245505,4.91986790415572,0.6,6.155108740254411e-05,0.00850099178237461,0.004344275748871564,16246.666666666668,6092,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Beesel,Limburg,13526,27.99,480.0,28100.0,51.26488805,6.037735936726019,0.9,6.65385184089901e-05,0.03215434083601287,0.0018624131302676327,15028.888888888889,7118,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Berg en Dal,Gelderland,34766,86.35,402.0,29100.0,51.825881,5.9100531,3.4,9.779669792325835e-05,0.03937463810075275,0.008444744865673358,10225.29411764706,7901,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Bergeijk,Noord-Brabant,18497,101.0,182.0,31700.0,51.30452025,5.31841374716957,0.8,4.3250256798399745e-05,0.007920792079207921,0.004368275936638374,23121.25,10276,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Bergen (Limburg),Limburg,13134,103.24,127.0,28100.0,51.6060195,6.05767144450122,0.1,7.613826709304097e-06,0.0009686168151879118,0.0007860514694685549,131340.0,11939,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Bergen (Noord-Holland),Noord-Holland,29965,98.96,303.0,35800.0,52.6676625,4.7080402999999995,1.4,4.672117470382112e-05,0.014147130153597413,0.004623527448690138,21403.57142857143,12485,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Bergen op Zoom,Noord-Brabant,66805,79.96,830.0,28300.0,51.4965864,4.28974079726371,1.0,1.4968939450639922e-05,0.012506253126563283,0.001196916398473168,66805.0,33402,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Berkelland,Gelderland,43899,258.06,171.0,28500.0,52.10152,6.618404576883941,0.1,2.2779562176814964e-06,0.00038750678136867395,0.000587849381534887,438990.0,39908,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Bernheze,Noord-Brabant,30802,89.73,340.0,31800.0,51.68353285,5.5212428164770495,1.4,4.545159405233426e-05,0.015602362643486013,0.004078371534315953,22001.428571428572,12834,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Best,Noord-Brabant,29823,34.3,860.0,32300.0,51.510017,5.398661990056469,4.8,0.00016094960265566845,0.13994169096209913,0.005520571371089428,6213.125,5141,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Beuningen,Gelderland,25896,43.65,591.0,30600.0,51.85859,5.7674900000000004,3.5,0.00013515600864998456,0.08018327605956473,0.005899559777571826,7398.857142857143,5754,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Beverwijk,Noord-Holland,41168,18.4,2232.0,27900.0,52.478626,4.6732036218509005,1.2,2.9148853478429846e-05,0.06521739130434782,0.0005363389040031092,34306.66666666667,18712,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Bladel,Noord-Brabant,20175,75.33,267.0,30800.0,51.3667765,5.2154317,0.2,9.913258983890955e-06,0.0026549847338377805,0.0007467657992565056,100875.0,16812,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Blaricum,Noord-Holland,11198,11.11,971.0,48800.0,52.28113375,5.29371090566366,3.2,0.0002857653152348634,0.28802880288028804,0.003174852652259332,3499.375,2666,3,0.0002630518942516105,0.16837823415237024,0.006811689234400736,6.809743530881317e-05,0.07247212850785036,0.0027467097958134594
Bloemendaal,Noord-Holland,23409,39.79,583.0,50800.0,52.403659399999995,4.619768700000001,3.1,0.00013242769874834465,0.07790902236742901,0.005269298133196634,7551.290322580645,5709,3,0.0002630518942516105,0.16837823415237024,0.006811689234400736,6.809743530881317e-05,0.07247212850785036,0.0027467097958134594
Bodegraven-Reeuwijk,Zuid-Holland,34470,75.38,450.0,34100.0,52.067755299999995,4.7575800066386,1.9,5.5120394545982014e-05,0.02520562483417352,0.004154975340876124,18142.105263157897,11886,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Boekel,Noord-Brabant,10587,34.51,304.0,30500.0,51.60571795,5.674821983398269,1.3,0.00012279210352318881,0.03767024050999711,0.004237555492585246,8143.846153846153,4603,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Borger-Odoorn,Drenthe,25359,274.53,92.0,27900.0,52.90009250000001,6.88216148192829,0.2,7.886746322804527e-06,0.0007285178304739009,0.0021651484679995263,126795.0,21132,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Borsele,Zeeland,22801,141.57,160.0,29800.0,51.428911299999996,3.83588438663442,0.4,1.7543090215341434e-05,0.0028254573709119166,0.0024835752817858867,57002.5,16286,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Boxmeer,Noord-Brabant,29059,111.44,259.0,30100.0,51.6486483,5.9450972,0.2,6.882549296259335e-06,0.0017946877243359657,0.0007669912935751403,145295.0,24215,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Boxtel,Noord-Brabant,30738,63.73,481.0,29500.0,51.590323299999994,5.30587934176726,0.8,2.602641681306526e-05,0.01255295779067943,0.001658663543496649,38422.5,17076,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Breda,Noord-Brabant,184069,125.74,1459.0,30300.0,51.5644477,4.75122959738863,4.4,2.3904079448467696e-05,0.03499284237315095,0.003005698949850328,41833.86363636363,34086,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
